No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre-Planning ,Stage 3 Pre-Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,Site Start,Practical Completion
397,CAS CONSTRUCTION,Louth,"5 Slieveroe Cresent,Dundalk",1,Cluid Housing Association,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
398,CAS CONSTRUCTION,Louth,"Tierney Street, Ardee",7,Oaklee Housing Trust,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
399,CAS CONSTRUCTION,Louth,"Saltown, Dundalk",7,North & East Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
400,CAS CONSTRUCTION,Louth,"Barrack Street, Dundalk",10,Dundalk Simon Community,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
401,CAS CONSTRUCTION,Louth,"McArdle Green (Moneymore), Drogheda ",1,North & East Housing Association,,,,,Q1 2017,
402,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond!  ,,,,,,Q1 2017
403,REGENERATION,Louth,Cox's Dimesne Phase 2b,7,*N/A,Stage 1 approved in Q3 2013 outline design and costs now being prepared,,,,,
404,REGENERATION,Louth,Cox's Dimesne Phase 2a,14,*N/A,,,,,,Q4 2016
405,SHIP CONSTRUCTION,Louth,Drogheda B&R project,12,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
406,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),20,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
407,SHIP CONSTRUCTION,Louth,Boice Court (Phase 2),23,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
408,SHIP CONSTRUCTION,Louth,Boice Court (Phase 3),20,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
409,SHIP CONSTRUCTION,Louth,"55/57 Bothar Brugha, Drogheda",3,*N/A,,,,,Q1 2017,
410,SHIP CONSTRUCTION,Louth,Dundalk B&R project (1),7,*N/A,,,,,,Q4 2016
411,SHIP CONSTRUCTION,Louth,Dundalk B&R project (2),17,*N/A,,,,,Q3 2016,
412,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,*N/A,,,,,,Q3 2016
413,CALF CONSTRUCTION TURNKEY,Mayo,Ballina area,11,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
414,CAS CONSTRUCTION,Mayo,Glenamoy,6,Glenamoy Housing Association Ltd,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
415,CAS CONSTRUCTION,Mayo,"Killosheehan, Ballinrobe",6,"Society of Saint Vincent 
de Paul",,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
416,CAS CONSTRUCTION,Mayo,"Logmore, Belmullet",7,Irish Wheelchair Association,,,,,Q4 2015,
417,CAS CONSTRUCTION,Mayo,"Admiral Browne Rd., Foxford (Phase 2)",4,"Society of Saint Vincent 
de Paul",,,,,Q1 2017,
418,CAS CONSTRUCTION,Mayo,"Admiral Browne Rd., Foxford (Phase 1)",8,"Society of Saint Vincent 
de Paul",,,,,,Q3 2016
419,SHIP Construction,Mayo,"Market Street, Swinford",2,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
420,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
421,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
422,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
423,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
424,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
425,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
426,SHIP CONSTRUCTION,Mayo,SRD,1,*N/A,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
427,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Knock (Phase 3)",4,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
428,SHIP CONSTRUCTION,Mayo,"Knockmore, Ballina ",8,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
429,SHIP CONSTRUCTION,Mayo,"Knocknageeha, Newport",1,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
430,SHIP CONSTRUCTION,Mayo,"Marian Crescent, Ballina",4,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
431,SHIP CONSTRUCTION,Mayo,Kilmeena (Phase 2) ,4,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
432,SHIP CONSTRUCTION,Mayo,"Slinaunroe, Clogher (SRD)",1,*N/A,,,,,Q4 2016,
433,SHIP CONSTRUCTION,Mayo,"Tubberhill, Westport (Phase 3)",21,*N/A,,,,,Q3 2016,
434,SHIP CONSTRUCTION,Mayo,"Barhauve, Rossport (SRD)",1,*N/A,,,,,Q4 2016,
435,SHIP CONSTRUCTION,Mayo,"Claggaun, Ballycroy (SRD)",1,*N/A,,,,,Q4 2016,
436,SHIP CONSTRUCTION,Mayo,"Glengad, Pollatomish (SRD)",1,*N/A,,,,,Q4 2016,
437,SHIP CONSTRUCTION,Mayo,"Gorthbrack, Inver (SRD)",1,*N/A,,,,,Q4 2016,
438,CALF CONSTRUCTION TURNKEY,Meath,Meath,24,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2016,,
439,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 1,11,Cluid Housing Association,,,,,,Q1 2017
440,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 2,18,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
441,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 3,18,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
442,CALF CONSTRUCTION TURNKEY,Meath,Ashbourne area - Phase 4,20,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
443,CALF CONSTRUCTION TURNKEY,Meath,"Grangehall, Dunshaughlin",7,Túath Housing Association,,,,,Q1 2017,
444,CALF CONSTRUCTION TURNKEY,Meath,"Tubberclaire, Navan",23,Cluid Housing Association,,,,,,Q2 2016
445,CALF CONSTRUCTION TURNKEY,Meath,"Mill Lane, Flower Hill, Navan",20,Oaklee Housing Trust,,,,,,Q1 2016
446,CALF CONSTRUCTION TURNKEY,Meath,"Seabury Lawns, Mornington",6,Cluid Housing Association,,,,,Q1 2017,
447,CALF CONSTRUCTION TURNKEY,Meath,"Dun Eimear, Bettytown",30,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
448,CALF CONSTRUCTION TURNKEY,Meath,"27 Ardmore Rise, Bettystown",1,North & East Housing Association,,,,,Q1 2017,
449,CALF CONSTRUCTION TURNKEY,Meath,"Royal Oaks, Enfield",4,Cluid Housing Association,,,,,Q1 2017,
450,CALF CONSTRUCTION TURNKEY,Meath,"Blackcastle, Slane Road, Navan",1,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
451,SHIP CONSTRUCTION,Meath,Bettystown (Phase 2),12,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
452,SHIP CONSTRUCTION,Meath,Ratoath,17,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
453,SHIP CONSTRUCTION,Meath," Riverside, Kells ",40,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
454,SHIP CONSTRUCTION,Meath,"Cherry Court, Summerhill",19,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
455,SHIP CONSTRUCTION,Meath,"Connaught Grove, Athboy",32,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
456,SHIP CONSTRUCTION,Meath,Bettystown (Phase 1),16,*N/A,,,,,Q2 2016,
457,CALF CONSTRUCTION,Monaghan,"Liseggerton Road, Clones",6,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2014,,
458,CALF CONSTRUCTION TURNKEY,Monaghan,"Magheross, Carrickmacross",33,Túath Housing Association,,,,Scheme approved for CALF funding Q2 2016,,
459,CALF CONSTRUCTION TURNKEY,Monaghan,"Killycard, Castleblaney",32,Túath Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
460,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",16,Oaklee Housing Trust,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
461,CAS CONSTRUCTION,Monaghan,"Convent Lands, Carrickmacross",7,Respond!  ,,,,,Q1 2016,
462,SHIP CONSTRUCTION,Monaghan,"Latlorcan, Monaghan Town",20,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
463,SHIP CONSTRUCTION,Monaghan,"Bree, Castleblayney",8,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
464,SHIP CONSTRUCTION TURNKEY,Monaghan,"Railway View, Kilnacloy, Monaghan Town",16,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
465,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town",22,*N/A,,,,,Q4 2016,
466,SHIP CONSTRUCTION TURNKEY,Monaghan,"The Meadows, Smithborough, Monaghan",5,*N/A,,,,,Q2 2016,
467,SHIP CONSTRUCTION TURNKEY,Monaghan,"Drumbear Wood, Monaghan Town",12,*N/A,,,,,Q4 2016,
468,CALF CONSTRUCTION,Offaly,"Kearney's Field, Tullamore",53,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2017,,
469,CAS CONSTRUCTION,Offaly,Mountbolus,4,Mid Offaly Voluntary Housing Association ,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
470,CAS CONSTRUCTION,Offaly,"Scurragh, Birr",6,Cluid Housing Association,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
471,CAS CONSTRUCTION,Offaly,"Killane Drive, Edenderry",2,Túath Housing Association,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
472,SHIP CONSTRUCTION,Offaly,"Chancery Lane, Tullamore",18,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
473,SHIP CONSTRUCTION,Offaly,"Blundell Wood, Edenderry",33,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
474,CALF CONSTRUCTION TURNKEY,Roscommon,Athlone,14,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2016,,
475,CALF CONSTRUCTION TURNKEY,Roscommon,Athlone area,40,Cluid Housing Association,,,,,Q1 2017,
476,SHIP CONSTRUCTION TURNKEY,Roscommon ,"Monksland, Athlone",10,*N/A,,,,,Q1 2017,
477,CAS CONSTRUCTION,Sligo,"""Shermac"" Tonaphubble",6,Newgrove Housing Association Ltd,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
478,CAS CONSTRUCTION,Sligo,"Cullaghbeg, Drumcliffe",4,Sophia,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
479,SHIP CONSTRUCTION,Sligo,"Carrowbunnaun, Strandhill",20,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
480,SHIP CONSTRUCTION,Sligo,Colloney,11,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
481,SHIP CONSTRUCTION,Sligo,Knappagh Road,28,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
482,SHIP CONSTRUCTION,Sligo,"Daghloonagh, Keash - SRD",1,*N/A,,,,,,Q4 2016
483,SHIP CONSTRUCTION,Sligo,"Caltragh, Culleens",1,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
484,SHIP CONSTRUCTION,Sligo,Fr Flanagan Tce.,22,*N/A,,,,,Q1 2017,
485,SHIP CONSTRUCTION,Sligo ,Rosses Point ,14,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
486,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin (apts",25,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
487,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin (houses)Phase 1",25,Cluid Housing Association,,,,,,Q1 2017
488,CALF CONSTRUCTION TURNKEY,South Dublin,"Milford Manor, Clondalkin (houses)Final Phase ",15,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
489,CALF CONSTRUCTION TURNKEY,South Dublin,"Broadfield Grove, Rathcoole, Co Dublin  ",14,Oaklee Housing Trust,,,,,Q1 2016,
490,CALF CONSTRUCTION TURNKEY,South Dublin,"Dodderbrook, Oldcourt Road, Ballycullen, Dublin 24 ",14,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
491,CALF CONSTRUCTION TURNKEY,South Dublin,"Cloverhill Rd, Dublin 22",40,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q1 2017,,
492,CALF CONSTRUCTION TURNKEY,South Dublin,"Station Road, Clondalkin, Co. Dublin ",5,Respond!,,,,,Q2 2016,
493,CAS CONSTRUCTION,South Dublin,"1 Hollyville Terrace, Palmerston",2,Cluid Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
494,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,"Dublin Simon 
Community",,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
495,CAS CONSTRUCTION,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
496,SHIP CONSTRUCTION,South Dublin,Balgaddy F,50,*N/A,Stage 1 approved in Q1 2015 outline design and costs now being prepared,,,,,
497,SHIP CONSTRUCTION,South Dublin,"St. Marks Avenue, Clondalkin ",39,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
498,SHIP CONSTRUCTION,South Dublin,"Ballyboden,  Rathfarnham",40,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
499,SHIP CONSTRUCTION,South Dublin,"Killinarden, Tallaght",28,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
500,SHIP CONSTRUCTION,South Dublin,"Letts Field, Neilstown, Clondalkin",37,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
501,SHIP CONSTRUCTION,South Dublin,"St Marks Green, Clondalkin",11,*N/A,,,,,Q1 2017,
502,SHIP CONSTRUCTION,South Dublin,Fortunestown (MacUilliam),28,*N/A,,,,,Q1 2017,
503,SHIP CONSTRUCTION,South Dublin,Mayfield Estate,18,*N/A,,,,,Q1 2017,
504,SHIP CONSTRUCTION,South Dublin,"Dromcarra, Tallaght",14,*N/A,,,,,Q1 2017,
505,SHIP CONSTRUCTION,South Dublin,"Suncroft, Tallaght",10,*N/A,,,,,,Q4 2016
506,SHIP CONSTRUCTION,South Dublin,"Belgard Road, Tallaght",3,*N/A,,,,,,Q1 2016
507,SHIP CONSTRUCTION,South Dublin,St Finians,2,*N/A,,,,,,Q3 2016
508,SHIP CONSTRUCTION RAPID,South Dublin,"St Aidan's,  Brookfield, Tallaght",85,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
509,SHIP CONSTRUCTION RAPID,South Dublin,"Killininny Road, Firhouse, Dublin 24 (Old Mill, Old Bawn Firhouse)",24,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
510,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthbert's, Clondalkin",59,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
511,CAS CONSTRUCTION,Tipperary,Fethard,4,Brothers of Charity/Belmount Park Housing Association Ltd. ,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
512,CAS CONSTRUCTION,Tipperary,"Ballinagrana (3), The Strand (3) & Castle Street, Carrick on Suir",7,Camphill Communities of Ireland,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
513,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
514,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,12,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
515,SHIP CONSTRUCTION,Tipperary,Templetouhy,6,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
516,SHIP CONSTRUCTION,Tipperary,Knockanrawley,25,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
517,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",25,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
518,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",9,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
519,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
520,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",10,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
521,SHIP CONSTRUCTION,Tipperary,"Waller's Lot, Cashel",10,*N/A,Stage 1 approved in Q2 2015 outline design and costs now being prepared,,,,,
522,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
523,SHIP CONSTRUCTION,Tipperary,"Mitchels St., Thurles",1,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
524,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
525,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
526,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,*N/A,,,,,,Q4 2016
527,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,*N/A,,,,,Q4 2016,
528,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,1,*N/A,,,,,,Q4 2016
529,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,*N/A,,,,,,Q2 2016
530,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,*N/A,,,,,,Q2 2016
531,CALF CONSTRUCTION TURNKEY,Tipperary ,"Ashbury, Roscrea",12,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
532,CALF CONSTRUCTION,Waterford,"St Johns College, Waterford",36,Respond!,,,,,,Q1 2016
533,CALF CONSTRUCTION TURNKEY,Waterford,"Estuary Heights, Shandon Road, Dungarvan",20,Co-operative Ireland,,,,,Q1 2017,
534,CAS CONSTRUCTION,Waterford,"Clarendon Court, Waterford City",10,Cluid Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
535,CAS CONSTRUCTION,Waterford,"Gleann Ealach, Dunhill",8,Gleann Ealach Housing Assoc,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
536,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Tramore Voluntary Housing association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
537,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford",6,Anvers Housing Association,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
538,CAS CONSTRUCTION,Waterford,"Powersfield, Hennessys Road, Waterford",3,Focus Ireland,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
539,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond!  ,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
540,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,"Society of Saint Vincent 
de Paul",,,,,,Q1 2017
541,SHIP CONSTRUCTION,Waterford,"Doyle Street, Waterford City",4,*N/A,Stage 1 approved in Q1 2014 outline design and costs now being prepared,,,,,
542,SHIP CONSTRUCTION,Waterford,"Ardmore Park/Priory Lawn, Waterford City",8,*N/A,,Stage 2 approved in Q3 2015 full design/tender being prepared,,,,
543,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",20,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
544,SHIP CONSTRUCTION,Waterford,"An Garran, Tramore",32,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
545,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
546,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
547,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,*N/A,,,,,Q4 2016,
548,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,*N/A,,,,,Q4 2016,
549,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,*N/A,,,,,Q1 2017,
550,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,*N/A,,,,,,Q4 2016
551,CALF CONSTRUCTION TURNKEY,Westmeath,"Cluain Mullen, Castlepollard",2,Túath Housing Association,,,,,Q2 2016,
552,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar  ",3,Túath Housing Association,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
553,CAS CONSTRUCTION,Westmeath,"St. Anne's Chapel Street, Athlone",4,Respond!  ,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
554,CAS CONSTRUCTION,Westmeath,"Canal Avenue, Mullingar ",9,Túath Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
555,CAS CONSTRUCTION,Westmeath,"Springfield, Mullingar",12,Túath Housing Association,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
556,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",28,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
557,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Athlone (Arcadia)  - Site No. 2",33,*N/A,,Stage 2 approved in Q4 2016 full design/tender being prepared,,,,
558,SHIP CONSTRUCTION,Westmeath,16 Ennell Court,1,*N/A,,,Stage 3 approved in Q4 2016 scheme now being tendered,,,
559,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
560,SHIP CONSTRUCTION,Westmeath,Ennell court (Phase 2),3,*N/A,,,,,,Q2 2016
561,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,*N/A,,,,,,Q1 2016
562,CALF CONSTRUCTION,Wexford,Wexford town,39,Cluid Housing Association,,,,Scheme approved for CALF funding Q4 2016,,
563,CALF CONSTRUCTION,Wexford,Meadowfields ,12,Co-operative Ireland,,,,,,Q3 2016
564,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 2",11,Co-operative Ireland,,,,,,Q1 2017
565,CALF CONSTRUCTION TURNKEY,Wexford,"Hunters Green, Gorey - Phase 3",9,Co-operative Ireland,,,,,Q1 2015,
566,CALF CONSTRUCTION TURNKEY,Wexford," Hunters Green, Gorey - Phase 1",18,Co-operative Ireland,,,,,,Q1 2016
567,CALF CONSTRUCTION TURNKEY,Wexford,Enniscorthy,40,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2016,,
568,CALF CONSTRUCTION TURNKEY,Wexford,Wexford,28,Oaklee Housing Trust,,,,Scheme approved for CALF funding Q4 2016,,
569,CALF CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",6,Túath Housing Association,,,,,,Q1 2017
570,CALF CONSTRUCTION TURNKEY,Wexford,"Unit No's 238, 239, 240, 241, 245 Ard Uisce, Whiterock",5,Túath Housing Association,,,,,Q4 2016,
571,CAS CONSTRUCTION,Wexford,"Westlands, Wexford",7,Respond!  ,Stage 1 approved in Q2 2014 outline design and costs now being prepared,,,,,
572,CAS CONSTRUCTION,Wexford,Barrystown,16,Grantstown Voluntary Housing Association,Stage 1 approved in Q3 2015 outline design and costs now being prepared,,,,,
573,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association,,,,,Q1 2016,
574,SHIP CONSTRUCTION,Wexford,"Clonard, Wexford",26,*N/A,Stage 1 approved in Q1 2016 outline design and costs now being prepared,,,,,
575,SHIP CONSTRUCTION,Wexford,"Maudlintown, Wexford",5,*N/A,Stage 1 approved in Q1 2017 outline design and costs now being prepared,,,,,
576,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",14,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
577,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
578,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",36,*N/A,Stage 1 approved in Q4 2016 outline design and costs now being prepared,,,,,
579,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,Stage 2 approved in Q3 2016 full design/tender being prepared,,,,
580,SHIP CONSTRUCTION,Wexford,Danescastle,12,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
581,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,*N/A,,Stage 2 approved in Q1 2017 full design/tender being prepared,,,,
582,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",9,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
583,SHIP CONSTRUCTION,Wexford,Cois Mara,2,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
584,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,*N/A,,,Stage 3 approved in Q1 2017 scheme now being tendered,,,
585,SHIP CONSTRUCTION,Wexford,Oylegate,2,*N/A,,,,"Stage 4 approval Q1 2017, scheme is now fully approved",,
586,SHIP CONSTRUCTION,Wexford,5 Mountain View,1,*N/A,,,,,Q1 2017,
587,SHIP CONSTRUCTION,Wexford,41 St Martins Park,1,*N/A,,,,,Q1 2017,
588,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,*N/A,,,,,,Q2 2016
589,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts ",8,*N/A,,,,,,Q1 2016
590,SHIP CONSTRUCTION,Wexford,"Baile an Tr , Riverchapel (Courtown Ardamine)",10,*N/A,,,,,,Q2 2016
591,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford ",1,*N/A,,,,,,Q1 2017
592,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,*N/A,,,,,,Q1 2017
593,CALF CONSTRUCTION,Wicklow,"St Ernan's View, Merrymeeting, Rathnew",45,Cluid Housing Association,,,,Scheme approved for CALF funding Q1 2017,,
594,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 1)",17,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
595,SHIP CONSTRUCTION,Wicklow,"Emoclew Road, Arklow (Phase 2)",20,*N/A,Stage 1 approved in Q3 2016 outline design and costs now being prepared,,,,,
