No.,Funding Programme,Local Authority,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,REGENERATION,Kerry,"St Martin's Park, Tralee",4,*N/A,,,,,Q2-2017,
,REGENERATION,Kerry,"Dingle Road, Tralee",1,*N/A,,,,,Q1-2017,
,CAS CONSTRUCTION,Kerry,"Armagh House, Killarney",6,Cluid Housing Association,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,CAS CONSTRUCTION,Kerry,"22 College Road, Castleisland",4,Kerry Emigrant Support Housing Association Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Kerry,Mitchels-Boherbee,18,Cluid Housing Association,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kerry,"The Parsonage, Caherciveen",5,Caherciveen Social Services (Housing) Ltd,,,,,Q4-2017,
,CAS CONSTRUCTION,Kerry,"Hawley Park Apartemnts, St Martins Park, Mitchels Rd, Tralee",15,Kingdom Voluntary Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kerry,"The Presentation Convent, Rathmore",4,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CALF CONSTRUCTION TURNKEY,Kerry,"Cathair Lakes Farrantoreen Road, Killorglin",6,Cluid Housing Association,,,,,,Q2-2016
,CALF CONSTRUCTION TURNKEY,Kerry,"Derreen, Killarney, Co. Kerry",61,Cluid Housing Associatiion,,,,Q1 2018,,
,SHIP CONSTRUCTION TURNKEY,Kildare,"Bodkin Place, Kilmeague",16,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kildare,"Oaktree, Tully Road, Kildare Town",8,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Kildare,"Mossbrook, Prosperous",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kildare,"Moore Abbey Court, Monasterevin",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kildare,Kilcock (Phase 2.2),13,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kildare,"Drogheda Street (Cassidy's Court), Monasterevin",7,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION RAPID,Kildare,"Old Greenfield Road, Maynooth",47,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Hillview Terrace, Narraghmore",4,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,Athgarvan Village,20,*N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Rathasker Road, Naas",48,*N/A,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Dunmurry Rise, Bishopsland",32,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kildare,"Anne Street, Prosperous",12,*N/A,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kildare,"Beechgrove, Rathangan",18,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Kildare,Kilcock (Phase 2.1),6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Kildare,"Athgarvan Road, Newbridge",13,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Kildare,"Dominican Church Site, Athy",30,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Newtown, Leixlip",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Coill Dubh, Co. Kildare",9,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kildare,"Ardclough Road, Celbridge",36,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Kildare,"Craddockstown, Naas",74,*N/A,,,Q1 2018,,,
,CAS CONSTRUCTION,Kildare,"Craddockstown, Naas",3,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kildare,"Main St., Kilcullen",4,Camphill Communities of Ireland,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kildare,"El Kantara, Newbridge",2,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kildare,"Mansfield Grove, Athy",4,KARE Promoting Inclusion for People with Intellectual Disabilities,"Stage 1 approved in Q1-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kildare,"Jigginstown House, Naas",12,Homeless Care Ltd,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,CALF CONSTRUCTION TURNKEY,Kildare,"Gallows Hill, Athy",24,Respond!,,,,Scheme approved for CALF funding Q2-2017,,
,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 3",16,Túath Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 2",16,Túath Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Kildare,"Roseberry Hill, Newbridge - Phase 1",13,Túath Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Kildare,"The Pike, Shenagun, Castledermot",6,Respond!,,,,Scheme approved for CALF funding Q1-2017,,
,CALF CONSTRUCTION TURNKEY,Kildare,"Moorefield Road, Newbridge",2,Co-operative Housing Ireland,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Kildare,"Millfield Manor, Newbridge, Co. Kildare *",19,Cluid Housing Association,,,,Scheme approved for CALF funding Q1-2018,,
,CALF CONSTRUCTION,Kildare,"Rye Abbey, Kilcock, (Apts)",33,Cluid Housing Association,,,,,,Q4-2017
,CALF CONSTRUCTION,Kildare,"Morristown, Newbridge, Co Kildare",14,Cluid Housing Association,,,,,,Q1-2018
,CALF CONSTRUCTION,Kildare,"Rye Abbey, Kilcock, (houses)",4,Cluid Housing Association,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",11,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Newpark, Castlecomer Road, Kilkenny",7,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 1)",8,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Togher Way, Urlingford",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Kilkenny,"Abbeygate, Ferrybank (Phase 2)",3,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Kilkenny,"Blackstaff House, Callan",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Barna, Freshford",1,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION,Kilkenny,"10 Golf Links Road, Kilkenny",7,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"Crokers Hill, Pennyswell Road, Kilkenny",80,*N/A,"Stage 1 approved in Q2-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Main Street, Piltown",17,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"Station Road, Ballyragget",22,*N/A,"Stage 1 approved in Q4-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Abbeyquarter Vicar Street (Sweeney's Orchard), Kilkenny",30,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Bolton, Callan",38,*N/A,,,,"Stage 4 approved in Q3-2017, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Kilkenny,"Donaguile, Castlecomer",33,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"Robertshill, Kilkenny",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Kilkenny,"The Butts, Kilkenny",22,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Kilkenny,"Rosehill, Kells Road, Kilkenny",6,*N/A,,,,,,Q1-2017
,SHIP CONSTRUCTION,Kilkenny,"Gaol Road, Kilkenny",10,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Kilkenny,Greensbridge House,5,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Kilkenny,"The Broguemaker, Kilkenny",15,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Kingsriver, Ennisnag",2,Kingsriver Housing Association Limited,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kilkenny,Garrin Green,6,SOS Kilkenny Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Kilkenny,"Hazelbrook, Newrath",2,Waterford Dove Housing Association,,,,,,Q1-2018
,CAS CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny",15,Respond,"Stage 1 approved in Q2-2016, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Ballytobin, Callan",4,Camphill Communities of Ireland,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Kilkenny,Good Shepherd Centre - Wing 1952,12,The Good Shepherd Centre (Kilkenny) Ltd,,,,"Stage 4 approved in Q4-2017, the scheme is now fully approved.",,
,CAS CONSTRUCTION,Kilkenny,Nimble Spaces Project at Callan,15,Camphill Communities of Ireland,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,CAS CONSTRUCTION,Kilkenny,"""Brooke House"", Thomastown",5,Camphill Communities of Ireland,,,,,,Q3-2017
,CAS CONSTRUCTION,Kilkenny,"Friary Walk, Callan",12,Cluid Housing Association,,,,,,Q3-2016
,CAS CONSTRUCTION,Kilkenny,"Camphill ~Communities Garden Cottage, The Workhouse, Callan",1,Camphill Communities of Ireland,,,,,,Q4-2017
,CAS CONSTRUCTION,Kilkenny,"Kyle, Callan, Co. Kilkenny",4,Camphill Communities of Ireland,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"""Red Barn"" Patrick Street, Ballyragget",16,Good Shepherd Services Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,"Smith's Road, Ballyraggett Oaklee",4,Oaklee Housing Trust,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Kilkenny,Fennelly's Lane Jerpoint,5,Camphill Communities of Ireland,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Kilkenny,"Logan Square, Thomastown, Co. Kilkenny*",16,Oaklee,,,,,,Q4-2017
,CALF CONSTRUCTION TURNKEY,Kilkenny,"Moneenview side Rd, Moneenroe",9,Oaklee Housing Trust,,,,,Q1-2017,
,CALF CONSTRUCTION TURNKEY,Kilkenny,"Chapel St. and New Road, Mooncoin, Co. Kilkenny",6,Respond!,,,,Scheme approved for CALF Funding Q3-2017,,
,CALF CONSTRUCTION,Kilkenny,"Golf Links Road, Kilkenny *",39,Respond!,,,,Scheme approved for CALF Funding Q4-2017,,
,CALF CONSTRUCTION,Kilkenny,"Friary Walk, Callan",16,Cluid Housing Association,,,,,Q1-2018,
,SHIP CONSTRUCTION,Laois,"Main Street, Rathdowney",6,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Harpurs Lane, Portlaoise",1,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Ballymorris Road, Portarlington",22,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Laois,"Gleann na Glaise, Ballyroan",10,*N/A,"Stage 1 approved in Q3-2016, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,Pattison Est. Mountmellick,10,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Shannon Street, Mountrath",8,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,*N/A,,,,,Q4-2016,
,CAS CONSTRUCTION,Laois,"St. Fintan's Hospital, Dublin Road, Portlaoise",8,Oaklee Housing Trust,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CALF CONSTRUCTION,Laois,Cluin Inn Mountrath,11,Oaklee Housing Trust,,,,,,Q1-2018
,CALF CONSTRUCTION,Laois,"55/56 Kirwan Park, Mountmellick",2,Cluid Housing Association,,,,,Q1-2018,
,CALF CONSTRUCTION TURNKEY,Laois ,"31 36 Droimnin, Stradbally",6,Cluid Housing Association,,,,,Q4-2017,
,SHIP CONSTRUCTION,Leitrim,"Summerhill, Carrick on Shannon",28,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,*N/A,,,,,Q2-2017,
,CAS CONSTRUCTION,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,,,,,Q4-2017
,SHIP CONSTRUCTION RAPID,Limerick,"Deerpark, Adare",30,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,"Lisheen Park, Patrickswell",16,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,Limerick,Upper Carey's Road,11,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,"Old Christians Site, Rathbane",33,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Mountpelier,10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Knocklong,10,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Limerick,Patrickswell (Site 2),28,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Patrick?s Villas, Castleconnell",4,*N/A,"Stage 1 approved in Q1-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Ballysimon, Greenhill Road ",14,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Gough Place, Rosbrien Road, Limerick",7,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"1-12 Burke Avenue, Limerick City",12,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Chas Flats, Limerick City",3,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,Sexton Street North & Kileely Court,5,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Site Adj. to Athlunkard Boat Club, Limerick City",4,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Joseph Street, Limerick City",3,*N/A,"Stage 1 approved in Q3-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Wallers Well, Limerick City (Phase 2)",11,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Clonmacken, Limerick City",38,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Glenview Drive, Hospital",20,*N/A,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",7,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Limerick,"Hasset Villas, Thomondgate",3,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Limerick,"Kilmurry Court, Garryowen",6,*N/A,,,"Stage 3 approved in Q3-2017, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Limerick,"Vance's Lands, Limerick City",37,*N/A,"Stage 1 approved in Q3-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Rathbane Road, Limerick City",2,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Limerick,"Sycamore Avenue, Limerick City",5,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,SHIP CONSTRUCTION,Limerick,"Lower Carey's Road, Limerick City",11,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Ballygrennan Road, Moyross",3,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Kileely Road, Moyross",5,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Ballygreannan Road, Limerick City",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Limerick,"Clare Street, Limerick City",2,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Limerick,Ballyhahill,4,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Knockalisheen Road, Moyross",6,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"Colbert Terrace, Abbeyfeale",9,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Limerick,"St. Michael's Court, Watergate Flats, ",9,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",79,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,"Lord Edward Street, P2: Main Contract",2,*N/A,,,,,,Q1-2017
,REGENERATION,Limerick,Gaol Lane,1,*N/A,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Sheep / Athlunkards Street,8,*N/A,,"Stage 2 approved in Q2-2014, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Churchfield (Phase 1A),19,*N/A,,,,,,Q1-2018
,REGENERATION,Limerick,Churchfield (Phase 1B),23,*N/A,,,,,Q3-2016,
,REGENERATION,Limerick,Churchfield (Phase 2),38,Circle Voluntary Housing Association Ltd,,"Stage 2 approved in Q4-2014, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Cosgrave Park,30,Co-operative Housing Ireland (Formerly NABCo),,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,REGENERATION,Limerick,Palm Court,27,Respond,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Orchard Site,26,Oaklee Housing Trust,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,REGENERATION,Limerick,176 & 177 Cliona Park,2,*N/A,,,,,,Q2-2016
,REGENERATION,Limerick,Cliona Park (Phase 2),10,*N/A,,,,,,Q2-2017
,REGENERATION,Limerick,8-10 Gaol Lane,3,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,1 3 Weston Gardens,3,*N/A,,,,,,Q2-2016
,REGENERATION,Limerick,2016 Moyross Rebuild,6,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,2016 Southhill Rebuild,8,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,2016 St. Mary's Park Rebuild,9,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,"BCW Vacant Refurbs, Lot 1 & 2**",13,*N/A,,,,,,Q4-2016
,REGENERATION,Limerick,St. Mary's Park Infills,19,Túath Housing Association,,,,,Q3-2017,
,REGENERATION,Limerick,Cliona Park (Phase 3),18,Túath Housing Association,,"Stage 2 approved in Q3-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Carew Park,37,*N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
,REGENERATION,Limerick,45-46 Cliona Park,2,*N/A,,"Stage 2 approved in Q1-2016, full design/tender being prepared.",,,,
,REGENERATION,Limerick,Dalgaish Park,24,Cluid Housing Association,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,REGENERATION,Limerick,Markievicz Drive,13,*N/A,"Stage 1 approved in Q1-2015, outline design and costs are now being prepared.",,,,,
,REGENERATION,Limerick,2017 St Mary's Park Rebuild,1,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Ballinacurra Weston Rebuild,1,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Southill Rebuilds,13,*N/A,,,,,,Q4-2017
,REGENERATION,Limerick,2017 Moyross Rebuild,1,*N/A,,,,,,Q4-2017
,CAS CONSTRUCTION,Limerick,"Towerfield Crescent, Croom",10,Croom Voluntary Housing Association Ltd,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Limerick,Cappamore,12,Cappamore Housing Association Ltd,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Limerick,"Speakers Corner, Limerick City",4,Simon Community : Midwest Simon,,,,,Q1-2018,
,CAS CONSTRUCTION,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,,,,Q3-2017,
,CAS CONSTRUCTION,Limerick,"Mirth, Thomondgate",12,Associated Charities Trust Ltd,,,"Stage 3 approved in Q1-2018, the scheme is now being tendered.",,,
,CAS CONSTRUCTION,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,,,,,Q4-2016
,CAS CONSTRUCTION,Limerick,"Convent Street, King's Island",2,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CAS CONSTRUCTION,Limerick,2/3 Mallow Street,6,Peter McVerry Trust Ltd,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Limerick,"Cosgrave Park, Moyross, Limerick City (Regen)q2",21,Co-operative Housing Ireland,,,,Scheme approved for CALF Funding Q3-2017,,
,CALF CONSTRUCTION TURNKEY,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",11,Respond!,,,,,Q4-2017,
,CALF CONSTRUCTION TURNKEY,Limerick,"Ard Aulin, Mungret Phase 1",7,Cluid Housing Association,,,,,,Q2-2017
,CALF CONSTRUCTION TURNKEY,Limerick,"Cluain Ard, Fedamore, 1/2",2,Co-operative Housing Ireland,,,,,,Q1-2018
,CALF CONSTRUCTION TURNKEY,Limerick,"Cluain Ard, Fedamore 2/2",2,Co-operative Housing Ireland,,,,,Q2-2017,
,CALF CONSTRUCTION TURNKEY,Limerick,"Ard Aulin, Mungret Phase 2",1,Cluid Housing Association,,,,,Q4-2016,
,CALF CONSTRUCTION,Limerick,"1 20 Park View Row, Hyde Road, Limerick",20,Cluid Housing Association,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 1)",14,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Longford,"Knock, Lanesborough",31,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Longford,"Mill Race Park, Drumlish (Phase 2)",2,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Longford,"Church View, Lanesborough",13,*N/A,"Stage 1 approved in Q2-2015, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Longford,"Rathcline Road, Lanesborough",4,*N/A,,,,"Stage 4 approved in Q1-2018, the scheme is now fully approved.",,
,SHIP CONSTRUCTION,Longford,"Edgeworthstown Road, Ballymahon",4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Longford,"Daroge, Ballymahon",1,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,SHIP CONSTRUCTION,Longford,Rose Cottage' Ballinalee,6,*N/A,"Stage 1 approved in Q1-2018, outline design and costs are now being prepared.",,,,,
,CALF CONSTRUCTION TURNKEY,Longford,"Cartrun Breac, Lisbrack Rd, Longford",7,Cluid Housing Association,,,,,,Q1-2017
,SHIP CONSTRUCTION,Louth,"55/57 Bothar Brugha, Drogheda",3,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project)  Phase 1,4,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Louth,Drogheda (Derelicts Project)  Phase 2,8,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (1),7,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (2),7,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (3),9,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Louth,"Woodlands, Dunleer",4,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Louth,Boice Court (Phase 2 - 4),69,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Louth,Father Finn Park (Phase 2),17,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Louth,Dundalk B&R project (4),6,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Louth,"Mount Avenue, Dundalk",75,*N/A,"Stage 1 approved in Q4-2017, outline design and costs are now being prepared.",,,,,
,REGENERATION,Louth,Cox's Demesne Phase 2a,14,*N/A,,,,,,Q4-2016
,REGENERATION,Louth,Cox's Demesne Phase 2b,22,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Louth,"Ravel Ardee Road, Dunleer",80,*N/A,,,Q1 2018,,,
